asn,count,bad_count,CCA
Global Layer B.V.,4,2,0.5
Storm Networks LLC,4,0,0.0
Aeza International Ltd,4,4,1.0
DFW Datacenter,4,2,0.5
Hosting Ltd,4,0,0.0
SH.cz s.r.o.,4,0,0.0
terralink networks GmbH,4,0,0.0
Proximus NV,4,0,0.0
Asac Comunicaciones S.L.,4,0,0.0
Baxet Group Inc.,4,3,0.75
Bahnhof AB,4,0,0.0
Team Blue Internet Services Uk Limited,4,2,0.5
Viettel Group,4,0,0.0
Input Output Flood LLC,4,2,0.5
"BroadbandONE, LLC",4,2,0.5
"Skycloud Computing co., Ltd.",4,4,1.0
National Academic Network and Information Center,4,0,0.0
National Internet Backbone,4,0,0.0
GigeNET,4,1,0.25
Euskaltel S.A.,4,0,0.0
Global Custom Data Limited,4,4,1.0
Servicos De Comunicacoes E Multimedia S.A.,4,2,0.5
China Networks Inter-Exchange,4,0,0.0
The Infrastructure Group B.V.,4,3,0.75
EVEO S.A.,4,1,0.25
"Internet Invest, Ltd.",4,0,0.0
"AZURE TECHNOLOGY CO., LIMITED",4,0,0.0
SoftBank Corp.,4,1,0.25
Node4 Limited,4,1,0.25
Comtrade System Integration doo Belgrade Serbia,4,0,0.0
British Telecommunications PLC,4,0,0.0
LLC Baxet,4,1,0.25
Dromatics Systems Pte Ltd,4,0,0.0
Host Universal Pty Ltd,4,1,0.25
Alwaysdata Sarl,4,0,0.0
Internet Vikings International AB,4,0,0.0
JSC ER-Telecom Holding,4,1,0.25
E-Large HongKong,4,4,1.0
ValorC3 Data Centers,4,0,0.0
KAGOYA JAPAN Inc.,4,0,0.0
NhanHoa Software company,4,2,0.5
Play2go International Limited,4,4,1.0
LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE,4,2,0.5
IP-Projects GmbH & Co. KG,4,0,0.0
Garant-Park-Internet LLC,4,4,1.0
IT Now S.A.,4,0,0.0
Free SAS,3,3,1.0
Ids & Unitelm Srl,3,0,0.0
Shenzhen Dianjiang Technology Co Ltd,3,3,1.0
SEEWEB s.r.l.,3,1,0.3333333333333333
Institute for Research in Fundamental Sciences,3,1,0.3333333333333333
Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,3,1,0.3333333333333333
"Verasel, Inc.",3,3,1.0
NILSAT Ltd.,3,3,1.0
ML Consultancy,3,0,0.0
Hosting.de GmbH,3,2,0.6666666666666666
BitCommand LLC,3,1,0.3333333333333333
Orange Business Services SA,3,0,0.0
Orange Polska Spolka Akcyjna,3,0,0.0
"SWAN, a.s.",3,0,0.0
PT Qwords Company International,3,0,0.0
Telia Company AB,3,1,0.3333333333333333
Nine Internet Solutions AG,3,0,0.0
4B Digital Ltda,3,0,0.0
Datacampus SAS,3,0,0.0
Globalconnect As,3,0,0.0
RouterHosting LLC,3,3,1.0
SITS Deutschland GmbH,3,0,0.0
Telecom Algeria,3,3,1.0
CHINANET Guangdong province network,3,0,0.0
Wholesale Services Provider,3,0,0.0
DAOU TECHNOLOGY,3,2,0.6666666666666666
Shock Hosting LLC,3,0,0.0
"Frontier Communications of America, Inc.",3,2,0.6666666666666666
Artfiles New Media GmbH,3,0,0.0
Retelit Digital Services S.p.A.,3,0,0.0
Telecommunications And Digital Government Regulatory Authority,3,0,0.0
"Latisys-Irvine, LLC",3,0,0.0
Delta HighTech Ltd.,3,0,0.0
Nessus GmbH,3,0,0.0
Virgin Media,3,1,0.3333333333333333
